iter	Passed	Remaining
0	0	45
1	0	40
2	1	36
3	1	33
4	1	33
5	2	31
6	2	31
7	2	30
8	2	29
9	3	28
10	3	27
11	3	27
12	3	26
13	4	26
14	4	25
15	4	24
16	4	24
17	5	23
18	5	23
19	5	22
20	5	22
21	6	21
22	6	21
23	6	21
24	7	21
25	7	20
26	7	20
27	7	20
28	8	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	18
34	9	17
35	9	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	16
42	11	15
43	12	15
44	12	15
45	12	14
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	15	12
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	17	10
62	18	10
63	18	10
64	18	10
65	18	9
66	19	9
67	19	9
68	20	8
69	20	8
70	20	8
71	20	8
72	21	7
73	21	7
74	21	7
75	22	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	4
86	25	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	2
93	27	1
94	27	1
95	27	1
96	27	0
97	28	0
98	28	0
99	28	0
