iter	Passed	Remaining
0	60	60075
1	60	30256
2	60	20268
3	61	15266
4	61	12266
5	61	10260
6	62	8829
7	62	7754
8	62	6914
9	63	6255
10	63	5717
11	63	5259
12	64	4871
13	64	4538
14	64	4251
15	65	3999
16	65	3776
17	65	3579
18	65	3403
19	66	3245
20	67	3137
21	67	3004
22	67	2883
23	68	2772
24	68	2676
25	69	2584
26	69	2501
27	69	2422
28	70	2346
29	70	2277
30	70	2211
31	71	2149
32	71	2091
33	71	2035
34	71	1984
35	72	1935
36	73	1905
37	73	1861
38	73	1823
39	74	1787
40	74	1750
41	75	1713
42	75	1679
43	75	1646
44	76	1614
45	76	1583
46	76	1555
47	77	1527
48	77	1501
49	77	1475
50	77	1451
51	78	1426
52	78	1405
53	79	1384
54	79	1363
55	79	1342
56	79	1322
57	80	1301
58	80	1282
59	80	1264
60	80	1246
61	81	1228
62	81	1214
63	82	1199
64	82	1188
65	82	1174
66	83	1159
67	83	1145
68	83	1131
69	84	1117
70	84	1105
71	84	1092
72	85	1080
73	85	1069
74	85	1058
75	86	1046
76	86	1035
77	86	1025
78	86	1013
79	87	1002
80	87	993
81	87	983
82	88	972
83	88	963
84	88	954
85	88	945
86	89	936
87	89	927
88	89	918
89	90	910
90	90	902
91	90	894
92	90	886
93	91	879
94	91	872
95	91	865
96	92	859
97	92	852
98	93	847
99	93	840
100	93	833
101	94	827
102	94	821
103	94	815
104	94	809
105	95	804
106	96	803
107	96	797
108	96	791
109	97	785
110	97	780
111	97	775
112	98	770
113	98	766
114	98	761
115	99	756
116	99	750
117	99	745
118	100	740
119	100	736
120	100	731
121	100	726
122	101	722
123	101	717
124	101	713
125	102	709
126	102	704
127	102	700
128	103	696
129	103	692
130	103	688
131	104	684
132	104	680
133	104	676
134	104	672
135	105	668
136	105	664
137	105	661
138	106	657
139	106	654
140	106	650
141	106	645
142	107	642
143	107	639
144	107	635
145	108	632
146	108	628
147	108	625
148	108	621
149	109	618
150	109	615
151	109	612
152	110	610
153	110	606
154	110	603
155	111	600
156	111	598
157	111	595
158	111	592
159	112	589
160	112	585
161	112	582
162	113	583
163	113	581
164	114	578
165	114	576
166	115	573
167	115	570
168	115	568
169	115	565
170	116	563
171	116	560
172	116	558
173	117	555
174	117	553
175	117	551
176	118	549
177	118	547
178	118	544
179	119	542
180	119	539
181	119	537
182	119	534
183	120	532
184	120	530
185	120	527
186	120	525
187	121	523
188	121	521
189	121	519
190	122	517
191	122	515
192	122	513
193	123	511
194	123	509
195	123	507
196	124	505
197	124	503
198	124	501
199	124	499
200	125	497
201	125	495
202	125	493
203	126	492
204	126	490
205	126	488
206	126	486
207	127	484
208	127	482
209	127	481
210	128	479
211	128	477
212	128	475
213	128	473
214	129	471
215	129	470
216	129	469
217	130	467
218	130	465
219	130	464
220	131	462
221	131	461
222	131	459
223	132	458
224	132	456
225	132	454
226	133	453
227	133	451
228	133	450
229	134	449
230	134	448
231	135	448
232	136	447
233	136	446
234	136	445
235	136	443
236	137	442
237	137	440
238	137	438
239	138	437
240	138	435
241	138	434
242	139	433
243	139	431
244	139	430
245	140	429
246	140	427
247	140	426
248	140	424
249	141	423
250	141	421
251	141	420
252	141	419
253	142	417
254	142	416
255	142	415
256	143	413
257	143	412
258	143	411
259	144	409
260	144	408
261	144	407
262	144	406
263	145	404
264	145	403
265	145	402
266	146	401
267	146	400
268	146	399
269	147	397
270	147	396
271	147	395
272	148	394
273	148	393
274	148	391
275	148	390
276	149	389
277	149	387
278	149	387
279	150	386
280	150	385
281	150	384
282	151	383
283	151	382
284	151	381
285	152	380
286	152	378
287	152	377
288	153	376
289	153	375
290	153	374
291	154	373
292	154	372
293	154	371
294	154	370
295	155	369
296	155	367
297	155	366
298	156	365
299	156	364
300	156	363
301	156	362
302	157	361
303	157	360
304	157	359
305	157	358
306	158	357
307	158	356
308	158	355
309	159	354
310	159	353
311	159	352
312	160	351
313	160	350
314	160	349
315	161	349
316	161	348
317	161	347
318	162	346
319	162	345
320	162	344
321	163	343
322	163	342
323	163	341
324	164	340
325	164	339
326	164	338
327	164	337
328	165	336
329	165	335
330	165	335
331	166	334
332	166	333
333	166	332
334	166	331
335	167	330
336	167	329
337	167	328
338	168	327
339	168	326
340	168	325
341	168	324
342	169	323
343	169	323
344	169	322
345	169	321
346	170	320
347	170	319
348	170	318
349	171	317
350	171	316
351	171	315
352	171	315
353	172	314
354	172	313
355	172	312
356	172	311
357	173	310
358	173	309
359	173	308
360	174	308
361	174	307
362	174	306
363	174	305
364	175	304
365	175	304
366	175	303
367	176	302
368	176	301
369	176	300
370	177	300
371	177	299
372	177	298
373	177	297
374	178	297
375	178	296
376	178	295
377	179	294
378	179	294
379	179	293
380	180	292
381	180	292
382	180	291
383	181	290
384	181	289
385	181	289
386	182	288
387	182	287
388	182	286
389	182	286
390	183	285
391	183	284
392	183	283
393	184	283
394	184	282
395	184	281
396	185	281
397	185	280
398	185	279
399	185	278
400	186	278
401	186	277
402	186	276
403	187	275
404	187	275
405	187	274
406	187	273
407	188	272
408	188	272
409	188	271
410	189	270
411	189	270
412	189	269
413	189	268
414	190	268
415	190	267
416	190	266
417	191	266
418	191	265
419	191	264
420	192	264
421	192	263
422	192	262
423	193	262
424	193	261
425	193	260
426	193	260
427	194	259
428	194	258
429	194	258
430	195	257
431	195	257
432	195	256
433	196	255
434	196	255
435	196	254
436	196	253
437	197	252
438	197	252
439	197	251
440	198	251
441	198	250
442	198	249
443	199	249
444	199	248
445	199	247
446	199	247
447	200	246
448	200	246
449	200	245
450	201	244
451	201	244
452	201	243
453	201	242
454	202	242
455	202	241
456	202	241
457	203	240
458	203	239
459	203	239
460	204	238
461	204	237
462	204	237
463	204	236
464	205	236
465	205	235
466	205	235
467	206	234
468	206	233
469	206	233
470	207	232
471	207	232
472	207	231
473	208	230
474	208	230
475	208	229
476	209	229
477	209	228
478	209	228
479	209	227
480	210	226
481	210	226
482	211	225
483	211	225
484	211	224
485	211	224
486	212	223
487	212	223
488	212	222
489	213	222
490	213	221
491	214	221
492	214	220
493	214	220
494	215	219
495	215	219
496	215	218
497	216	218
498	216	217
499	217	217
500	217	216
501	217	216
502	218	215
503	218	215
504	218	214
505	219	214
506	219	213
507	220	213
508	220	212
509	220	212
510	221	211
511	221	211
512	221	210
513	222	210
514	222	209
515	222	209
516	223	208
517	223	207
518	223	207
519	224	206
520	224	206
521	224	205
522	225	205
523	225	204
524	225	204
525	225	203
526	226	203
527	226	202
528	226	201
529	227	201
530	227	200
531	227	200
532	228	199
533	228	199
534	228	198
535	228	198
536	229	197
537	229	197
538	229	196
539	230	196
540	230	195
541	230	195
542	231	194
543	231	194
544	231	193
545	232	193
546	232	192
547	232	192
548	233	191
549	233	190
550	233	190
551	233	189
552	234	189
553	234	188
554	234	188
555	235	187
556	235	187
557	235	186
558	236	186
559	236	185
560	236	185
561	236	184
562	237	184
563	237	183
564	237	183
565	238	182
566	238	182
567	238	181
568	239	181
569	239	180
570	239	180
571	240	179
572	240	179
573	240	178
574	241	178
575	241	177
576	241	177
577	242	176
578	242	176
579	242	175
580	243	175
581	243	174
582	243	174
583	244	173
584	244	173
585	244	172
586	244	172
587	245	171
588	245	171
589	245	170
590	246	170
591	246	169
592	246	169
593	247	168
594	247	168
595	247	167
596	247	167
597	248	166
598	248	166
599	248	165
600	249	165
601	249	164
602	249	164
603	250	163
604	250	163
605	250	162
606	250	162
607	251	161
608	251	161
609	251	160
610	252	160
611	252	159
612	252	159
613	252	158
614	253	158
615	253	158
616	253	157
617	254	157
618	254	156
619	254	156
620	255	155
621	255	155
622	255	154
623	255	154
624	256	153
625	256	153
626	256	152
627	257	152
628	257	151
629	257	151
630	258	150
631	258	150
632	258	149
633	258	149
634	259	148
635	259	148
636	259	148
637	260	147
638	260	147
639	260	146
640	260	146
641	261	145
642	261	145
643	261	144
644	261	144
645	262	143
646	262	143
647	262	142
648	263	142
649	263	141
650	263	141
651	264	141
652	264	140
653	264	140
654	265	139
655	265	139
656	265	138
657	266	138
658	266	137
659	266	137
660	266	136
661	267	136
662	267	135
663	267	135
664	268	135
665	268	134
666	268	134
667	268	133
668	269	133
669	269	132
670	269	132
671	269	131
672	270	131
673	270	130
674	270	130
675	271	129
676	271	129
677	271	129
678	272	128
679	272	128
680	272	127
681	273	127
682	273	126
683	273	126
684	274	126
685	274	125
686	274	125
687	274	124
688	275	124
689	275	123
690	275	123
691	275	122
692	276	122
693	276	121
694	276	121
695	277	121
696	277	120
697	277	120
698	277	119
699	278	119
700	278	118
701	278	118
702	278	117
703	279	117
704	279	116
705	279	116
706	280	116
707	280	115
708	280	115
709	280	114
710	281	114
711	281	113
712	281	113
713	282	113
714	282	112
715	282	112
716	283	111
717	283	111
718	283	110
719	283	110
720	284	109
721	284	109
722	284	109
723	285	108
724	285	108
725	285	107
726	285	107
727	286	106
728	286	106
729	286	106
730	287	105
731	287	105
732	287	104
733	287	104
734	288	103
735	288	103
736	289	103
737	289	102
738	289	102
739	290	101
740	290	101
741	290	101
742	290	100
743	291	100
744	291	99
745	292	99
746	292	99
747	292	98
748	293	98
749	293	97
750	294	97
751	294	97
752	295	96
753	295	96
754	296	96
755	296	95
756	296	95
757	297	94
758	297	94
759	297	93
760	297	93
761	298	93
762	298	92
763	299	92
764	299	91
765	299	91
766	299	91
767	300	90
768	300	90
769	300	89
770	300	89
771	301	88
772	301	88
773	301	88
774	302	87
775	302	87
776	302	86
777	303	86
778	303	86
779	303	85
780	304	85
781	304	84
782	304	84
783	305	84
784	305	83
785	305	83
786	306	82
787	306	82
788	306	82
789	306	81
790	307	81
791	307	80
792	307	80
793	308	79
794	308	79
795	308	79
796	309	78
797	309	78
798	310	77
799	310	77
800	310	77
801	310	76
802	311	76
803	311	75
804	311	75
805	312	75
806	312	74
807	312	74
808	313	73
809	313	73
810	313	73
811	314	72
812	314	72
813	314	71
814	315	71
815	316	71
816	316	70
817	316	70
818	317	70
819	317	69
820	317	69
821	317	68
822	318	68
823	318	68
824	319	67
825	319	67
826	319	66
827	320	66
828	320	66
829	320	65
830	320	65
831	321	64
832	321	64
833	321	64
834	322	63
835	322	63
836	322	62
837	323	62
838	323	62
839	323	61
840	324	61
841	324	60
842	324	60
843	325	60
844	325	59
845	325	59
846	326	58
847	326	58
848	326	58
849	326	57
850	327	57
851	327	56
852	327	56
853	328	56
854	328	55
855	328	55
856	329	54
857	329	54
858	329	54
859	330	53
860	330	53
861	330	52
862	331	52
863	331	52
864	331	51
865	332	51
866	332	50
867	332	50
868	333	50
869	333	49
870	333	49
871	333	49
872	334	48
873	334	48
874	335	47
875	335	47
876	335	47
877	336	46
878	336	46
879	336	45
880	337	45
881	337	45
882	337	44
883	338	44
884	338	43
885	338	43
886	339	43
887	339	42
888	339	42
889	340	42
890	340	41
891	340	41
892	340	40
893	341	40
894	341	40
895	341	39
896	341	39
897	342	38
898	342	38
899	342	38
900	343	37
901	343	37
902	343	36
903	343	36
904	344	36
905	344	35
906	344	35
907	345	34
908	345	34
909	345	34
910	345	33
911	346	33
912	346	33
913	346	32
914	347	32
915	347	31
916	347	31
917	348	31
918	348	30
919	348	30
920	349	29
921	349	29
922	349	29
923	350	28
924	350	28
925	350	28
926	351	27
927	351	27
928	351	26
929	352	26
930	352	26
931	352	25
932	353	25
933	353	24
934	353	24
935	354	24
936	354	23
937	354	23
938	354	23
939	355	22
940	355	22
941	355	21
942	356	21
943	356	21
944	356	20
945	357	20
946	357	20
947	357	19
948	357	19
949	358	18
950	358	18
951	358	18
952	359	17
953	359	17
954	359	16
955	360	16
956	360	16
957	360	15
958	360	15
959	361	15
960	361	14
961	361	14
962	362	13
963	362	13
964	362	13
965	362	12
966	363	12
967	363	12
968	363	11
969	364	11
970	364	10
971	364	10
972	364	10
973	365	9
974	365	9
975	365	8
976	366	8
977	366	8
978	366	7
979	366	7
980	367	7
981	367	6
982	368	6
983	368	5
984	368	5
985	369	5
986	369	4
987	369	4
988	370	4
989	370	3
990	371	3
991	371	2
992	372	2
993	372	2
994	372	1
995	372	1
996	373	1
997	373	0
998	373	0
999	374	0
